GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
inventory-service,com.example.products.dto,ApiError,12,0,0,0,1,0,1,0,1,0
inventory-service,com.example.products.dto,QuantityDTO,0,6,0,0,0,1,0,1,0,1
inventory-service,com.example.products.dto,PurchaseDTO,0,9,0,0,0,1,0,1,0,1
inventory-service,com.example.products.dto,InventoryDTO,0,9,0,0,0,1,0,1,0,1
inventory-service,com.example.products.dto,JsonApiResponse,0,12,0,0,0,1,0,1,0,1
inventory-service,com.example.products,AppConfig,4,3,0,0,1,1,1,1,1,1
inventory-service,com.example.products,InventoryServiceApplication,5,3,0,0,2,1,1,1,1,1
inventory-service,com.example.products.service,InventoryService,23,138,1,3,3,29,3,7,2,6
inventory-service,com.example.products.model,Inventory,7,17,0,0,2,5,2,5,2,5
inventory-service,com.example.products.controller,InventoryController,20,90,4,4,4,15,4,5,0,5
inventory-service,com.example.products.controller,GlobalExceptionHandler,39,3,0,0,9,1,3,1,3,1
